crop_renamed,fertiliser_type,residue_policy,scen_label,mean_resp,sd_resp,n_rot
Soybean,Biogas digestate,Residue removed,Rad 0% W,-25.386228433231338,1.850546805205605,4
Soybean,Biogas digestate,Residue removed,Tmp +0.5degC C,0.12402467536874318,0.7358313850901543,4
Soybean,Biogas digestate,Residue removed,Tmp +1degC C,8.498923352989063,2.4558951091974297,4
Soybean,Biogas digestate,Residue removed,Tmp +2degC C,14.93396782282394,8.447286789690548,4
Soybean,Biogas digestate,Residue removed,Tmp +3degC C,14.499840443202805,12.798675444946877,4
Soybean,Biogas digestate,Residue removed,Tmp -2degC C,-60.94561501988993,3.3300997818398312,4
Soybean,Biogas digestate,Residue removed,Tmp -3degC C,-81.12269063997573,2.733408643450721,4
Soybean,Biogas digestate,Residue removed,Tmp 0degC C,-11.429700084347623,2.5336387692249365,4
Soybean,Biogas digestate,Residue removed,Tmp 0degC E,-11.024362867044973,2.38897337113976,4
Soybean,Biogas digestate,Residue removed,Tmp 0degC W,-11.60611366714081,1.7592158124702313,4
Soybean,Biogas digestate,Residue removed,Wind -20% C,1.717579793550026,0.6437658567111368,4
Soybean,Biogas digestate,Residue removed,Wind -30% C,2.0471115544802716,0.7892656639652458,4
Soybean,Biogas digestate,Residue removed,Wind -40% C,2.3118730457062733,0.8375962721498885,4
Soybean,Biogas digestate,Residue removed,Wind -50% C,2.6040508499862143,0.9510066561604952,4
Soybean,Biogas digestate,Residue removed,Wind -60% C,2.8916250650573536,1.1005254323007478,4
Soybean,Biogas digestate,Residue removed,Wind -70% C,3.116984649592269,1.164206917586379,4
Soybean,Biogas digestate,Residue removed,Wind 0% C,1.1022169990498378,0.4289832101327456,4
Soybean,Biogas digestate,Residue removed,Wind 0% E,1.011377851285434,0.29064949876933804,4
Soybean,Biogas digestate,Residue removed,Wind 0% W,1.182585485156792,0.529016761985044,4
Soybean,Biogas digestate,Residue retained,Rad -10% C,-24.772968392377784,2.4543976783030774,4
Soybean,Biogas digestate,Residue retained,Rad -20% C,-34.012835357737174,3.37095547679777,4
Soybean,Biogas digestate,Residue retained,Rad -30% C,-42.84276825288086,3.9283351642282454,4
Soybean,Biogas digestate,Residue retained,Rad -5% C,-20.748992234830652,1.719703168533235,4
Soybean,Biogas digestate,Residue retained,Rad 0% C,-16.716766309330257,1.51764002643211,4
Soybean,Biogas digestate,Residue retained,Rad 0% E,-21.70453427367684,2.78397483313578,4
Soybean,Biogas digestate,Residue retained,Rad 0% W,-25.386063351061416,1.8505202914842223,4
Soybean,Biogas digestate,Residue retained,Tmp +0.5degC C,0.12384421584622385,0.7353479012922791,4
Soybean,Biogas digestate,Residue retained,Tmp +1degC C,8.498774592272138,2.4556120051286197,4
Soybean,Biogas digestate,Residue retained,Tmp +2degC C,14.934342188398961,8.446754000458087,4
Soybean,Biogas digestate,Residue retained,Tmp +3degC C,14.501763323732725,12.797984704896772,4
Soybean,Biogas digestate,Residue retained,Tmp -2degC C,-60.94541944380625,3.3302940737921696,4
Soybean,Biogas digestate,Residue retained,Tmp -3degC C,-81.12240750209172,2.7339147347121733,4
Soybean,Biogas digestate,Residue retained,Tmp 0degC C,-11.429220417362915,2.5341963398819773,4
Soybean,Biogas digestate,Residue retained,Tmp 0degC E,-11.024043906860912,2.3891322661617194,4
Soybean,Biogas digestate,Residue retained,Tmp 0degC W,-11.605913998969546,1.7596304746888252,4
Soybean,Biogas digestate,Residue retained,Wind -20% C,1.718191795281034,0.644614254338577,4
Soybean,Biogas digestate,Residue retained,Wind -30% C,2.047733453113461,0.790077386071061,4
Soybean,Biogas digestate,Residue retained,Wind -40% C,2.3124508259415926,0.8383465245877028,4
Soybean,Biogas digestate,Residue retained,Wind -50% C,2.604649000827346,0.9516290024883552,4
Soybean,Biogas digestate,Residue retained,Wind -60% C,2.8916276058300863,1.1006265082860243,4
Soybean,Biogas digestate,Residue retained,Wind -70% C,3.117268710394278,1.1647089287365027,4
Soybean,Biogas digestate,Residue retained,Wind 0% C,1.1029356937798198,0.4299354887333597,4
Soybean,Biogas digestate,Residue retained,Wind 0% E,1.0120560443696065,0.2915523068986177,4
Soybean,Biogas digestate,Residue retained,Wind 0% W,1.1833796283271838,0.5299767250530759,4
Winter Wheat,Mineral fertiliser,Residue removed,Rad -10% C,-34.956933156450205,4.91086264307992,4
Winter Wheat,Mineral fertiliser,Residue removed,Rad -20% C,-48.06964330995815,7.116811252145,4
Winter Wheat,Mineral fertiliser,Residue removed,Rad -30% C,-63.71535150831939,5.587950918732454,4
Winter Wheat,Mineral fertiliser,Residue removed,Rad -5% C,-28.38777323961795,4.626445098084465,4
Winter Wheat,Mineral fertiliser,Residue removed,Rad 0% C,-21.973109919963548,4.704015381138607,4
Winter Wheat,Mineral fertiliser,Residue removed,Rad 0% E,-36.795156331262866,6.074618776593277,4
Winter Wheat,Mineral fertiliser,Residue removed,Rad 0% W,-45.238734207580464,7.426440169481645,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp +0.5degC C,1.362471149425531,1.3597648298085903,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp +1degC C,6.650571270484655,2.361010089831694,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp +2degC C,11.18970484581332,4.471836385577762,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp +3degC C,4.532071630428318,9.437444947454471,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp -2degC C,-31.732751927435906,10.636493954866198,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp -3degC C,-50.456511449139605,13.562801469605821,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp 0degC C,-3.7124657896778124,4.870283614734323,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp 0degC E,-4.022723154920717,5.143197979130625,4
Winter Wheat,Mineral fertiliser,Residue removed,Tmp 0degC W,-3.836720294260825,4.6492765311183915,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind -20% C,-1.146074019081128,1.0224885235898802,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind -30% C,-1.488001704461139,1.071089033680738,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind -40% C,-1.9060124354168104,1.1787149030660689,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind -50% C,-2.2287311564037786,1.479873744350388,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind -60% C,-2.664268675626324,1.5760278352442694,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind -70% C,-3.0452147778975145,1.6496253614710947,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind 0% C,-0.8130112777522626,0.37115763563583304,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind 0% E,-0.7088516606765733,0.3994579069369345,4
Winter Wheat,Mineral fertiliser,Residue removed,Wind 0% W,-0.9607604974578847,0.3940755307857907,4
Winter Wheat,Mineral fertiliser,Residue retained,Rad -10% C,-37.53849697767769,5.098772067876005,4
Winter Wheat,Mineral fertiliser,Residue retained,Rad -20% C,-51.4466827423156,5.5771270523994065,4
Winter Wheat,Mineral fertiliser,Residue retained,Rad -30% C,-66.23122610909444,4.3129972259805,4
Winter Wheat,Mineral fertiliser,Residue retained,Rad -5% C,-31.62335157245988,4.125470344706857,4
Winter Wheat,Mineral fertiliser,Residue retained,Rad 0% C,-25.274272694810247,4.004009189479728,4
Winter Wheat,Mineral fertiliser,Residue retained,Rad 0% E,-39.89790288055566,5.578379834367054,4
Winter Wheat,Mineral fertiliser,Residue retained,Rad 0% W,-47.832996565772504,6.869655938170724,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp +0.5degC C,0.827913969341062,1.945022088722,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp +1degC C,3.9520709168877053,2.4262847557262,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp +2degC C,6.8241915126297,3.2083593004057374,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp +3degC C,-0.44410051344214574,6.6618241219119305,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp -2degC C,-32.984476983380844,10.812950552886866,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp -3degC C,-52.886088816209686,13.08543145956429,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp 0degC C,-2.830365101129485,4.920585802059504,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp 0degC E,-3.2217293559113407,5.0427317228101405,4
Winter Wheat,Mineral fertiliser,Residue retained,Tmp 0degC W,-3.012351054364507,4.849163554538407,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind -20% C,-1.7564305384178152,0.39914529388070896,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind -30% C,-2.0769808824829745,0.45465250975654364,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind -40% C,-2.4626580531565354,0.5724880360163225,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind -50% C,-2.7944493330419133,0.7159529787402453,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind -60% C,-3.1653379984479533,0.8347805216601982,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind -70% C,-3.5139442702329067,0.9520708645285669,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind 0% C,-1.1429854692211363,0.37365414562750754,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind 0% E,-1.0567951440353422,0.3924452522449648,4
Winter Wheat,Mineral fertiliser,Residue retained,Wind 0% W,-1.2636136324467553,0.35302054975115565,4
Winter Wheat,Mineral fertiliser,NA,Rad -10% C,-19.158822036736996,NA,1
Winter Wheat,Mineral fertiliser,NA,Rad -20% C,-32.459556242640225,NA,1
Winter Wheat,Mineral fertiliser,NA,Rad -30% C,-51.3008495600386,NA,1
Winter Wheat,Mineral fertiliser,NA,Rad -5% C,-13.726690934933067,NA,1
Winter Wheat,Mineral fertiliser,NA,Rad 0% C,-9.276435698666218,NA,1
Winter Wheat,Mineral fertiliser,NA,Rad 0% E,-19.81523096495197,NA,1
Winter Wheat,Mineral fertiliser,NA,Rad 0% W,-30.310457486452897,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp +0.5degC C,1.685011754293743,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp +1degC C,5.934470315393582,NA,1
Winter Wheat,Mineral fertiliser,NA,Tmp +2degC C,8.604406406032181,NA,1
