crop_renamed,fertiliser_type,residue_policy,scen_label,mean_resp,sd_resp,n_rot,driver,is_vapv_zero
Winter Wheat,Biogas digestate,Residue retained,Wind 0%,0,0,4,Wind,TRUE
Soybean,Biogas digestate,Residue removed,Wind 0%,0,0,4,Wind,TRUE
Soybean,Biogas digestate,Residue retained,Wind 0%,0,0,4,Wind,TRUE
Winter Wheat,Biogas digestate,Residue removed,Wind -20%,-0.586316903047032,0.2250909138030729,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue retained,Wind -20%,-0.5796588330358113,0.24908417301470756,4,Wind,FALSE
Soybean,Biogas digestate,Residue removed,Wind -20%,0.6079904659257416,0.21229956073110617,4,Wind,FALSE
Soybean,Biogas digestate,Residue retained,Wind -20%,0.6078794742108167,0.21218893368894914,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -30%,-0.9443102991206989,0.41064419071258573,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue retained,Wind -30%,-0.9152446500877411,0.4362406471515388,4,Wind,FALSE
Soybean,Biogas digestate,Residue removed,Wind -30%,0.9334930868393083,0.35979831714907184,4,Wind,FALSE
Soybean,Biogas digestate,Residue retained,Wind -30%,0.9333887470966182,0.3596729053054386,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -40%,-1.2373592689001722,0.5936912953135595,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue retained,Wind -40%,-1.2450058406692306,0.5995251180433891,4,Wind,FALSE
Soybean,Biogas digestate,Residue removed,Wind -40%,1.1952408932087362,0.41258383225758033,4,Wind,FALSE
Soybean,Biogas digestate,Residue retained,Wind -40%,1.1950910155881114,0.4124246387756901,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -50%,-1.6456159773064443,0.6279240018503497,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue retained,Wind -50%,-1.7333599061433729,0.5724442825681989,4,Wind,FALSE
Soybean,Biogas digestate,Residue removed,Wind -50%,1.483939752484738,0.5353875696330719,4,Wind,FALSE
Soybean,Biogas digestate,Residue retained,Wind -50%,1.4838079425236879,0.5351837665703186,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -60%,-2.457300412528344,0.6436554026012363,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue retained,Wind -60%,-2.4517429958112706,0.6740551202852483,4,Wind,FALSE
Soybean,Biogas digestate,Residue removed,Wind -60%,1.7680377379860108,0.7005759097496683,4,Wind,FALSE
Soybean,Biogas digestate,Residue retained,Wind -60%,1.7673155915270629,0.6999016589720747,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind -70%,-2.777979249418411,0.6704059551424846,4,Wind,FALSE
Winter Wheat,Biogas digestate,Residue retained,Wind -70%,-2.785111137414744,0.7260563531590862,4,Wind,FALSE
Soybean,Biogas digestate,Residue removed,Wind -70%,1.9908891768733956,0.7843830337227741,4,Wind,FALSE
Soybean,Biogas digestate,Residue retained,Wind -70%,1.9904432173258257,0.7842454974396721,4,Wind,FALSE
