depth,management_label,scen_label,mean_delta_soc_pct,sd_delta_soc_pct,mean_absolute_change_tC_ha,driver
0-30 cm,Biogas digestate | Residue Removed,Rad -10%,-3.0179788727817276,1.2055967982681988,-2.1692750000000087,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad -20%,-3.492774933786433,1.072161634695868,-2.5075250000000016,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad -30%,-4.283989520707505,1.5308475332200173,-3.084125,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad -5%,-2.5988569345655606,1.1828956793050993,-1.8680500000000029,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad 0%,-2.1105911041187415,1.3549881645930995,-1.5140000000000036,Radiation
0-30 cm,Biogas digestate | Residue Removed,Tmp +0.5degC,-0.5479644065520051,0.9320091821841543,-0.3949250000000029,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp +1degC,-0.02756077999241234,0.6699640014675393,-0.023700000000004367,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp +2degC,-1.1358378975089538,0.763580125045937,-0.8225250000000051,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp +3degC,-3.1446851573657195,1.0431283558950701,-2.2700000000000036,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp -2degC,8.937920694040427,1.036012727780382,6.437674999999996,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp -3degC,11.110891109057729,1.4713560184496128,8.000524999999998,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp 0degC,1.319732408135963,1.1696432247162694,0.9511500000000015,Temperature
0-30 cm,Biogas digestate | Residue Retained,Rad -10%,-3.5850668646542294,1.7331887793229326,-2.634925000000003,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad -20%,-4.614469083531148,2.0971193444007503,-3.3906749999999954,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad -30%,-5.388492451450057,1.619862922455807,-3.963875000000004,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad -5%,-2.90072065047072,1.469430378005715,-2.13325,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad 0%,-2.2290786969408543,1.8384342865812244,-1.6385750000000008,Radiation
0-30 cm,Biogas digestate | Residue Retained,Tmp +0.5degC,0.15626414913059483,1.2143380596191429,0.10777500000000872,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp +1degC,-0.5118810676907501,0.848206660471746,-0.37682500000000435,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp +2degC,-1.6570451804930768,1.1612695861696474,-1.2259499999999934,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp +3degC,-3.7917023891171393,1.2313145615071426,-2.7955499999999955,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp -2degC,8.549315817249592,1.694422912722557,6.278800000000003,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp -3degC,10.79883054386196,2.1051587416791024,7.942400000000001,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp 0degC,0.6142146061131244,0.849765404651064,0.4469249999999993,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Rad -10%,-3.2673458175413277,1.7549459197604094,-2.2676500000000015,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad -20%,-3.4090428489626845,1.5673532001861408,-2.3631250000000072,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad -30%,-3.3163723794780644,1.601615528542069,-2.3047750000000016,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad -5%,-3.1618424136425136,1.9877626605023806,-2.190800000000003,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad 0%,-2.3104206148804893,2.028541322217475,-1.5983750000000072,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +0.5degC,0.367650444820175,0.7367973541827022,0.254674999999992,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +1degC,0.29611537202647303,0.4880033166096017,0.20489999999999417,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +2degC,-0.8981755911985595,0.6109956261650984,-0.6260500000000065,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +3degC,-3.0468819801910776,0.863886628827251,-2.11955000000001,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp -2degC,8.97223995399367,2.109871117963747,6.235349999999995,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp -3degC,10.658140150491862,1.5883538276521338,7.404675000000003,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp 0degC,1.7536432494266962,1.3490329958396463,1.2200999999999913,Temperature
0-30 cm,Mineral fertiliser | Residue Retained,Rad -10%,-4.252356736984225,0.9646265139559984,-3.028699999999997,Radiation
0-30 cm,Mineral fertiliser | Residue Retained,Rad -20%,-4.734243307145134,1.3934456623840608,-3.3735,Radiation
0-30 cm,Mineral fertiliser | Residue Retained,Rad -30%,-5.357338751444158,0.9089858053176709,-3.8177499999999926,Radiation
0-30 cm,Mineral fertiliser | Residue Retained,Rad -5%,-4.174572889094297,1.516613854674674,-2.9714249999999955,Radiation
0-30 cm,Mineral fertiliser | Residue Retained,Rad 0%,-3.423286685367319,1.8683099133252616,-2.4350499999999995,Radiation
0-30 cm,Mineral fertiliser | Residue Retained,Tmp +0.5degC,-0.08950494119171759,0.8813078702535805,-0.06580000000000291,Temperature
0-30 cm,Mineral fertiliser | Residue Retained,Tmp +1degC,-0.8498064412143793,1.3377061798429266,-0.6092750000000015,Temperature
0-30 cm,Mineral fertiliser | Residue Retained,Tmp +2degC,-1.8258700824289735,0.5973305980658081,-1.3055250000000014,Temperature
0-30 cm,Mineral fertiliser | Residue Retained,Tmp +3degC,-4.189541127277795,0.4790488110102137,-2.992,Temperature
0-30 cm,Mineral fertiliser | Residue Retained,Tmp -2degC,8.496707815549707,1.9624208313681748,6.068049999999996,Temperature
0-30 cm,Mineral fertiliser | Residue Retained,Tmp -3degC,9.165945168795599,1.7295947175032622,6.544200000000001,Temperature
0-30 cm,Mineral fertiliser | Residue Retained,Tmp 0degC,1.1241977163289658,1.375866676207692,0.8067249999999986,Temperature
30-60 cm,Biogas digestate | Residue Removed,Rad -10%,-2.6447814966695407,0.6032108854599924,-0.9062499999999891,Radiation
30-60 cm,Biogas digestate | Residue Removed,Rad -20%,-3.2936588262746023,0.7005210422917029,-1.128449999999997,Radiation
30-60 cm,Biogas digestate | Residue Removed,Rad -30%,-4.197541425067622,0.6559523861111812,-1.4375749999999972,Radiation
30-60 cm,Biogas digestate | Residue Removed,Rad -5%,-2.4301282192556655,0.7081290118810653,-0.8330749999999971,Radiation
30-60 cm,Biogas digestate | Residue Removed,Rad 0%,-2.152895780439198,0.4687256390681346,-0.7375999999999986,Radiation
30-60 cm,Biogas digestate | Residue Removed,Tmp +0.5degC,0.05558104381446736,0.7248444768779888,0.0185,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp +1degC,1.220836461507194,0.529348575006705,0.4166000000000022,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp +2degC,1.8064837677662053,0.6819350861197636,0.6165250000000051,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp +3degC,1.6177643383068856,0.9607281801221129,0.551375,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp -2degC,-1.6918523253302913,0.8787332522170249,-0.5809000000000014,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp -3degC,-2.896805732342468,0.8355739385128549,-0.9927749999999979,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp 0degC,0.03107379442014755,0.46590547030097446,0.009674999999995635,Temperature
30-60 cm,Biogas digestate | Residue Retained,Rad -10%,-2.6911944399433,0.6810285467426931,-0.9233249999999971,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad -20%,-3.509971185798692,0.7913777296824177,-1.2040500000000065,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad -30%,-4.2876235862965455,0.8135031095719583,-1.4706749999999957,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad -5%,-2.3858220647657356,0.7409491380921357,-0.8190250000000014,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad 0%,-2.0264527813961815,0.7342616397218464,-0.6956749999999993,Radiation
30-60 cm,Biogas digestate | Residue Retained,Tmp +0.5degC,0.5989207560671753,0.8694458523832711,0.20392499999999564,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp +1degC,1.021089241021951,0.6409791586425645,0.3495,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp +2degC,1.982853849976748,0.820900378108501,0.6777499999999891,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp +3degC,2.029206698622716,0.8971035769111644,0.6933250000000007,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp -2degC,-1.9658683390713128,0.796945251369515,-0.6752749999999978,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp -3degC,-2.9304128010641564,0.9453794897121145,-1.0057249999999986,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp 0degC,-0.4656705695530924,0.6818378921277647,-0.16107499999999708,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Rad -10%,-2.8265372900737322,0.5056817662307106,-0.9335250000000015,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad -20%,-3.278178921039573,0.3705792784501317,-1.0826499999999941,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad -30%,-3.8308199550126183,0.4573801564448386,-1.2652500000000035,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad -5%,-2.8057606682999605,0.42304111838454356,-0.926125,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad 0%,-2.3210550907400793,0.3148120048126793,-0.7660249999999942,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +0.5degC,0.7383467753336528,0.5586756375721055,0.243700000000008,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +1degC,1.4336299143523967,0.3598902335282481,0.4731000000000022,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +2degC,1.936675469529785,0.46458814034532697,0.6388000000000029,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +3degC,1.6680020058464236,0.6990871046198686,0.5498000000000065,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp -2degC,-1.7110478162238059,0.3895746235607944,-0.5653249999999934,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp -3degC,-2.9370272114882114,0.8043890273928586,-0.9705250000000051,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp 0degC,0.3500532107858367,0.26358572886940856,0.11547500000000582,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Rad -10%,-3.198541478079646,0.39519291063981915,-1.0644500000000043,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad -20%,-3.7222129777660444,0.5293232001557802,-1.238800000000003,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad -30%,-4.5184997497929285,0.4174249620156659,-1.5035000000000074,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad -5%,-3.2338652981885483,0.41249589458401137,-1.0757500000000035,Radiation
