management_label,scen_label,value,outcome,driver,relative_yield_pct
Mineral fertiliser | Residue Removed,Wind -30%,1.91615599606121,Δ N leaching,Wind,102.06802670193524
Mineral fertiliser | Residue Removed,Wind -40%,1.848191977997471,Δ N leaching,Wind,102.00136291163177
Mineral fertiliser | Residue Removed,Wind -50%,1.9949856525979985,Δ N leaching,Wind,101.99905227227954
Mineral fertiliser | Residue Removed,Wind -60%,1.7053490232399409,Δ N leaching,Wind,102.10488545817613
Mineral fertiliser | Residue Removed,Wind -70%,1.5117591775356494,Δ N leaching,Wind,102.15760674439656
Mineral fertiliser | Residue Retained,Rad 0%,-11.796491125789494,Δ N leaching,Radiation,76.3837266907792
Mineral fertiliser | Residue Retained,Rad -10%,-6.583630292233587,Δ N leaching,Radiation,65.19766664994854
Mineral fertiliser | Residue Retained,Rad -20%,-7.028387841580316,Δ N leaching,Radiation,52.548244410516
Mineral fertiliser | Residue Retained,Rad -30%,-13.663671647899879,Δ N leaching,Radiation,39.2689418583933
Mineral fertiliser | Residue Retained,Rad -5%,-12.395418611375899,Δ N leaching,Radiation,70.62900761951188
Mineral fertiliser | Residue Retained,Tmp 0degC,-9.084995328125865,Δ N leaching,Temperature,94.96465826864811
Mineral fertiliser | Residue Retained,Tmp +0.5degC,-4.99779626341692,Δ N leaching,Temperature,100.63244493629946
Mineral fertiliser | Residue Retained,Tmp +1degC,-1.9631838743371992,Δ N leaching,Temperature,105.40939866383185
Mineral fertiliser | Residue Retained,Tmp -2degC,-38.43326793399268,Δ N leaching,Temperature,60.164223976591124
Mineral fertiliser | Residue Retained,Tmp +2degC,4.790777506243896,Δ N leaching,Temperature,109.28947017944404
Mineral fertiliser | Residue Retained,Tmp -3degC,-43.682395295450704,Δ N leaching,Temperature,40.219330685605705
Mineral fertiliser | Residue Retained,Tmp +3degC,2.6687325919283515,Δ N leaching,Temperature,103.98470194244118
Mineral fertiliser | Residue Retained,Wind 0%,-0.02536920263057547,Δ N leaching,Wind,99.4162922411067
Mineral fertiliser | Residue Retained,Wind -20%,-0.37182177168646385,Δ N leaching,Wind,99.12250936271442
Mineral fertiliser | Residue Retained,Wind -30%,-0.6212637841726212,Δ N leaching,Wind,98.97154011345675
Mineral fertiliser | Residue Retained,Wind -40%,-0.6831646888685863,Δ N leaching,Wind,98.75624049608722
Mineral fertiliser | Residue Retained,Wind -50%,-0.9599790539218469,Δ N leaching,Wind,98.58783142280076
Mineral fertiliser | Residue Retained,Wind -60%,-1.1346525340274811,Δ N leaching,Wind,98.39216646440727
Mineral fertiliser | Residue Retained,Wind -70%,-1.3276913008954305,Δ N leaching,Wind,98.18701928205064
Biogas digestate | Residue Removed,Rad -10%,-3.0179788727817276,"Δ Total SOC, 0–30 cm",Radiation,73.35857465745745
Biogas digestate | Residue Removed,Rad -20%,-3.492774933786433,"Δ Total SOC, 0–30 cm",Radiation,63.185206480605004
Biogas digestate | Residue Removed,Rad -30%,-4.283989520707505,"Δ Total SOC, 0–30 cm",Radiation,47.59714654045869
Biogas digestate | Residue Removed,Rad -5%,-2.5988569345655606,"Δ Total SOC, 0–30 cm",Radiation,75.4270831992136
Biogas digestate | Residue Removed,Rad 0%,-2.1105911041187415,"Δ Total SOC, 0–30 cm",Radiation,79.05643869902147
Biogas digestate | Residue Removed,Tmp +0.5degC,-0.5479644065520051,"Δ Total SOC, 0–30 cm",Temperature,100.1022126865476
Biogas digestate | Residue Removed,Tmp +1degC,-0.02756077999241234,"Δ Total SOC, 0–30 cm",Temperature,114.26855631867176
Biogas digestate | Residue Removed,Tmp +2degC,-1.1358378975089538,"Δ Total SOC, 0–30 cm",Temperature,124.5250607346544
Biogas digestate | Residue Removed,Tmp +3degC,-3.1446851573657195,"Δ Total SOC, 0–30 cm",Temperature,126.31157757605143
Biogas digestate | Residue Removed,Tmp -2degC,8.937920694040427,"Δ Total SOC, 0–30 cm",Temperature,67.88079560702616
Biogas digestate | Residue Removed,Tmp -3degC,11.110891109057729,"Δ Total SOC, 0–30 cm",Temperature,48.716411244111825
Biogas digestate | Residue Removed,Tmp 0degC,1.319732408135963,"Δ Total SOC, 0–30 cm",Temperature,98.18044125528432
