fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations
Mineral fertiliser,Residue Removed,weatherRad20dwnCenter,Radiation,-20,Center,FALSE,7.601004146919444,0.3256996895277763,4
Mineral fertiliser,Residue Removed,weatherRad30dwnCenter,Radiation,-30,Center,FALSE,6.626647482281111,0.34356344479156264,4
Mineral fertiliser,Residue Removed,weatherRad5dwnCenter,Radiation,-5,Center,FALSE,8.154290085050926,1.0183649935825634,4
Mineral fertiliser,Residue Removed,weatherTmp0Center,Temperature,0,Center,FALSE,11.302590114842593,0.7176435327930807,4
Mineral fertiliser,Residue Removed,weatherTmp0p5upCenter,Temperature,0.5,Center,FALSE,12.05834061299074,0.9998590870548606,4
Mineral fertiliser,Residue Removed,weatherTmp1upCenter,Temperature,1,Center,FALSE,13.093429635481481,0.8785516165155125,4
Mineral fertiliser,Residue Removed,weatherTmp2dwnCenter,Temperature,-2,Center,FALSE,7.9346463260833335,0.48098762666762723,4
Mineral fertiliser,Residue Removed,weatherTmp2upCenter,Temperature,2,Center,FALSE,14.16690842928148,0.6817525877812423,4
Mineral fertiliser,Residue Removed,weatherTmp3dwnCenter,Temperature,-3,Center,FALSE,5.836711789268518,0.4161940741249125,4
Mineral fertiliser,Residue Removed,weatherTmp3upCenter,Temperature,3,Center,FALSE,14.306689281415471,0.7157240507258421,4
Mineral fertiliser,Residue Removed,weatherWin0Center,Wind,0,Center,FALSE,11.190018807777777,0.8270591020021134,4
Mineral fertiliser,Residue Removed,weatherWin20dwnCenter,Wind,-20,Center,FALSE,11.348517190092593,0.860172452769779,4
Mineral fertiliser,Residue Removed,weatherWin30dwnCenter,Wind,-30,Center,FALSE,11.36698945638889,0.8627951510992511,4
Mineral fertiliser,Residue Removed,weatherWin40dwnCenter,Wind,-40,Center,FALSE,11.359565323425926,0.8516325659398933,4
Mineral fertiliser,Residue Removed,weatherWin50dwnCenter,Wind,-50,Center,FALSE,11.359307994916666,0.8447207285141078,4
Mineral fertiliser,Residue Removed,weatherWin60dwnCenter,Wind,-60,Center,FALSE,11.371094298101852,0.8427074632078271,4
Mineral fertiliser,Residue Removed,weatherWin70dwnCenter,Wind,-70,Center,FALSE,11.37696569900926,0.8377711269847361,4
Mineral fertiliser,Residue Retained,weatherBaselineopen,Baseline,0,Open field,TRUE,2.000171494351852,0.15972871737670222,4
Mineral fertiliser,Residue Retained,weatherRad0Center,Radiation,0,Center,FALSE,1.5278055275925926,0.15268843963209425,4
Mineral fertiliser,Residue Retained,weatherRad10dwnCenter,Radiation,-10,Center,FALSE,1.3040651433148147,0.15232396207102017,4
Mineral fertiliser,Residue Retained,weatherRad20dwnCenter,Radiation,-20,Center,FALSE,1.0510550054814813,0.1494299836423538,4
Mineral fertiliser,Residue Retained,weatherRad30dwnCenter,Radiation,-30,Center,FALSE,0.7854461811851852,0.11894285208012938,4
Mineral fertiliser,Residue Retained,weatherRad5dwnCenter,Radiation,-5,Center,FALSE,1.4127012771490741,0.15415009535377636,4
Mineral fertiliser,Residue Retained,weatherTmp0Center,Temperature,0,Center,FALSE,1.8994560243981482,0.2196886994305214,4
Mineral fertiliser,Residue Retained,weatherTmp0p5upCenter,Temperature,0.5,Center,FALSE,2.0128214776851854,0.15477556795184766,4
Mineral fertiliser,Residue Retained,weatherTmp1upCenter,Temperature,1,Center,FALSE,2.1083687444416666,0.17515234537353053,4
Mineral fertiliser,Residue Retained,weatherTmp2dwnCenter,Temperature,-2,Center,FALSE,1.2033876577777778,0.25694465880903816,4
Mineral fertiliser,Residue Retained,weatherTmp2upCenter,Temperature,2,Center,FALSE,2.1859768288574073,0.14536998051541236,4
Mineral fertiliser,Residue Retained,weatherTmp3dwnCenter,Temperature,-3,Center,FALSE,0.8044555875925926,0.23457841149859648,4
Mineral fertiliser,Residue Retained,weatherTmp3upCenter,Temperature,3,Center,FALSE,2.0798723667394445,0.15325830004803934,4
Mineral fertiliser,Residue Retained,weatherWin0Center,Wind,0,Center,FALSE,1.988496338148148,0.1549327872718116,4
Mineral fertiliser,Residue Retained,weatherWin20dwnCenter,Wind,-20,Center,FALSE,1.9826201767592593,0.15740542309458067,4
Mineral fertiliser,Residue Retained,weatherWin30dwnCenter,Wind,-30,Center,FALSE,1.9796005328703705,0.15879853665561594,4
Mineral fertiliser,Residue Retained,weatherWin40dwnCenter,Wind,-40,Center,FALSE,1.9752941712962961,0.15960503845116583,4
Mineral fertiliser,Residue Retained,weatherWin50dwnCenter,Wind,-50,Center,FALSE,1.9719257010185185,0.1598874365700177,4
Mineral fertiliser,Residue Retained,weatherWin60dwnCenter,Wind,-60,Center,FALSE,1.9680120662962963,0.16129894405206027,4
Mineral fertiliser,Residue Retained,weatherWin70dwnCenter,Wind,-70,Center,FALSE,1.9639087708333332,0.16163686567338703,4
