crop_renamed,scen_label,mean_pct_change,sd_pct_change,n_rotations,driver
Winter Wheat,Rad 0% W,12.207245741162154,2.2683480399410056,4,Radiation
Winter Wheat,Rad 0% C,6.76842753527896,1.3178448357296142,4,Radiation
Winter Wheat,Rad 0% E,10.107449372339321,1.8180040819789716,4,Radiation
Winter Wheat,Rad -5% C,8.517314880774524,1.6776064028139592,4,Radiation
Winter Wheat,Rad -10% C,10.261226768748134,1.8339069540350443,4,Radiation
Winter Wheat,Rad -20% C,13.779807321408834,2.6491748353228424,4,Radiation
Winter Wheat,Rad -30% C,17.519833928212673,3.343284210247495,4,Radiation
Winter Wheat,Tmp 0degC W,2.386239325340121,0.47391817229497885,4,Temperature
Winter Wheat,Tmp 0degC C,2.265410916465062,0.47261920030811516,4,Temperature
Winter Wheat,Tmp 0degC E,2.163179455794511,0.4711872141925616,4,Temperature
Winter Wheat,Tmp -3degC C,14.892554276668928,3.66835826621265,4,Temperature
Winter Wheat,Tmp -2degC C,10.113170605480851,1.8942816849547481,4,Temperature
Winter Wheat,Tmp +0.5degC C,0.9714546692519477,0.45024355859836634,4,Temperature
Winter Wheat,Tmp +1degC C,-0.5303771793957099,0.32925503455656346,4,Temperature
Winter Wheat,Tmp +2degC C,-3.6457547356085667,2.6139794798332705,4,Temperature
Winter Wheat,Tmp +3degC C,-3.844942756409181,6.8743834531715216,4,Temperature
Winter Wheat,Wind 0% W,0.8590936947049306,0.06729183952464732,4,Wind
Winter Wheat,Wind 0% C,0.8917811565145468,0.12353273283574798,4,Wind
Winter Wheat,Wind 0% E,0.9616018467355962,0.21410626658236373,4,Wind
Winter Wheat,Wind -20% C,1.4630376598653196,0.20049566807976824,4,Wind
Winter Wheat,Wind -30% C,1.7633645528743103,0.24264503702482176,4,Wind
Winter Wheat,Wind -40% C,2.0760334025179623,0.2916604069747716,4,Wind
Winter Wheat,Wind -50% C,2.4624867527502867,0.3856142261401309,4,Wind
Winter Wheat,Wind -60% C,2.7897560453309675,0.4332984755343832,4,Wind
Winter Wheat,Wind -70% C,3.121312219642045,0.48953081190718284,4,Wind
Soybean,Rad 0% W,5.07408034395793,0.5835720807264049,3,Radiation
Soybean,Rad 0% C,3.010387885789095,0.8916701047785373,3,Radiation
Soybean,Rad 0% E,4.066227466373757,0.8562280266321591,3,Radiation
Soybean,Rad -5% C,3.6387122137354018,0.8861553873896482,3,Radiation
Soybean,Rad -10% C,4.348751301944505,0.7481265605732993,3,Radiation
Soybean,Rad -20% C,5.613041659284843,0.7087163564056594,3,Radiation
Soybean,Rad -30% C,6.899647233992925,0.6377635981643233,3,Radiation
Soybean,Tmp 0degC W,1.6924055064927122,0.7850166217641829,3,Temperature
Soybean,Tmp 0degC C,1.1641234173384654,0.181235605934819,3,Temperature
Soybean,Tmp 0degC E,1.129118264722564,0.22497520320370784,3,Temperature
Soybean,Tmp -3degC C,7.587434792454624,0.7700530047515847,3,Temperature
Soybean,Tmp -2degC C,5.461745534050857,0.35157654541327205,3,Temperature
Soybean,Tmp +0.5degC C,0.3269515236580932,0.034924959948554955,3,Temperature
Soybean,Tmp +1degC C,-0.45527133235868533,0.16712426454453413,3,Temperature
Soybean,Tmp +2degC C,-2.151053186295028,0.3738591536833222,3,Temperature
Soybean,Tmp +3degC C,-3.9764590759212513,0.6895502886474422,3,Temperature
Soybean,Wind 0% W,0.3385564924133548,0.07550993237793686,3,Wind
Soybean,Wind 0% C,0.3370055264232755,0.055361915718559244,3,Wind
Soybean,Wind 0% E,0.3649588710401422,0.0545436864866082,3,Wind
Soybean,Wind -20% C,0.5937708701149097,0.0929874809825143,3,Wind
Soybean,Wind -30% C,0.7340774424633226,0.11578720959122603,3,Wind
Soybean,Wind -40% C,0.876702994595981,0.13763943157073463,3,Wind
Soybean,Wind -50% C,1.0282435213835848,0.16939291808276166,3,Wind
Soybean,Wind -60% C,1.1769164625549235,0.1893168418128445,3,Wind
Soybean,Wind -70% C,1.3341804494417902,0.21618883678774953,3,Wind
