component,scen_label,mean_mm,sd_mm,n_rotation_years,driver
Actual ET,Wind -30%,464.01071296296294,48.94220396006132,108,Wind
Actual ET,Wind -40%,459.8477037037037,48.18716612971053,108,Wind
Actual ET,Wind -50%,455.5717314814815,47.42119942542486,108,Wind
Actual ET,Wind -60%,450.51221296296296,46.37170150479223,108,Wind
Actual ET,Wind -70%,446.0536666666667,45.60286443147119,108,Wind
Actual ET,Wind 0%,475.45855555555556,51.20992806750589,108,Wind
Percolation (below profile),Rad -10%,271.7962444444444,118.79831057343966,108,Radiation
Percolation (below profile),Rad -20%,304.1946564814815,124.77115175695711,108,Radiation
Percolation (below profile),Rad -30%,335.613762037037,127.86794708322802,108,Radiation
Percolation (below profile),Rad -5%,256.3404268518519,116.8594932742805,108,Radiation
Percolation (below profile),Rad 0%,239.8321574074074,114.6379143637819,108,Radiation
Percolation (below profile),Tmp +0.5degC,184.28810833333333,105.71523947590644,108,Temperature
Percolation (below profile),Tmp +1degC,164.3346388888889,104.84321413988883,108,Temperature
Percolation (below profile),Tmp +2degC,129.63699583333334,100.53663280399078,108,Temperature
Percolation (below profile),Tmp +3degC,102.90297453703704,95.32362664939564,108,Temperature
Percolation (below profile),Tmp -2degC,282.7158101851852,116.64853915916352,108,Temperature
Percolation (below profile),Tmp -3degC,323.116937962963,122.42743351140876,108,Temperature
Percolation (below profile),Tmp 0degC,206.00631203703705,106.32136961826833,108,Temperature
Percolation (below profile),Wind -20%,201.90167592592593,109.41584044825039,108,Wind
Percolation (below profile),Wind -30%,205.9007462962963,109.81692435219612,108,Wind
Percolation (below profile),Wind -40%,210.04782962962963,110.26199772880399,108,Wind
Percolation (below profile),Wind -50%,214.30847222222224,110.7130253300813,108,Wind
Percolation (below profile),Wind -60%,219.35240555555555,110.3845711606412,108,Wind
Percolation (below profile),Wind -70%,223.79538703703705,110.82642977286862,108,Wind
Percolation (below profile),Wind 0%,194.50591666666668,108.59737219528823,108,Wind
Drain flow (lateral),Rad -10%,0,0,108,Radiation
Drain flow (lateral),Rad -20%,0,0,108,Radiation
Drain flow (lateral),Rad -30%,0,0,108,Radiation
Drain flow (lateral),Rad -5%,0,0,108,Radiation
Drain flow (lateral),Rad 0%,0,0,108,Radiation
Drain flow (lateral),Tmp +0.5degC,0,0,108,Temperature
Drain flow (lateral),Tmp +1degC,0,0,108,Temperature
Drain flow (lateral),Tmp +2degC,0,0,108,Temperature
Drain flow (lateral),Tmp +3degC,0,0,108,Temperature
Drain flow (lateral),Tmp -2degC,0,0,108,Temperature
Drain flow (lateral),Tmp -3degC,0,0,108,Temperature
Drain flow (lateral),Tmp 0degC,0,0,108,Temperature
Drain flow (lateral),Wind -20%,0,0,108,Wind
Drain flow (lateral),Wind -30%,0,0,108,Wind
Drain flow (lateral),Wind -40%,0,0,108,Wind
Drain flow (lateral),Wind -50%,0,0,108,Wind
Drain flow (lateral),Wind -60%,0,0,108,Wind
Drain flow (lateral),Wind -70%,0,0,108,Wind
Drain flow (lateral),Wind 0%,0,0,108,Wind
Surface runoff,Rad -10%,0,0,108,Radiation
Surface runoff,Rad -20%,0,0,108,Radiation
Surface runoff,Rad -30%,0,0,108,Radiation
Surface runoff,Rad -5%,0,0,108,Radiation
Surface runoff,Rad 0%,0,0,108,Radiation
Surface runoff,Tmp +0.5degC,0,0,108,Temperature
Surface runoff,Tmp +1degC,0,0,108,Temperature
Surface runoff,Tmp +2degC,0,0,108,Temperature
