depth,management_label,scen_label,mean_delta_soc_pct,sd_delta_soc_pct,n_rotations,driver
30-60 cm,Biogas digestate | Residue Removed,Tmp +3degC,1.6177643383068856,0.9607281801221129,4,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp -2degC,-1.6918523253302913,0.8787332522170249,4,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp -3degC,-2.896805732342468,0.8355739385128549,4,Temperature
30-60 cm,Biogas digestate | Residue Removed,Tmp 0degC,0.03107379442014755,0.46590547030097446,4,Temperature
30-60 cm,Biogas digestate | Residue Retained,Rad -10%,-2.6911944399433,0.6810285467426931,4,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad -20%,-3.509971185798692,0.7913777296824177,4,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad -30%,-4.2876235862965455,0.8135031095719583,4,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad -5%,-2.3858220647657356,0.7409491380921357,4,Radiation
30-60 cm,Biogas digestate | Residue Retained,Rad 0%,-2.0264527813961815,0.7342616397218464,4,Radiation
30-60 cm,Biogas digestate | Residue Retained,Tmp +0.5degC,0.5989207560671753,0.8694458523832711,4,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp +1degC,1.021089241021951,0.6409791586425645,4,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp +2degC,1.982853849976748,0.820900378108501,4,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp +3degC,2.029206698622716,0.8971035769111644,4,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp -2degC,-1.9658683390713128,0.796945251369515,4,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp -3degC,-2.9304128010641564,0.9453794897121145,4,Temperature
30-60 cm,Biogas digestate | Residue Retained,Tmp 0degC,-0.4656705695530924,0.6818378921277647,4,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Rad -10%,-2.8265372900737322,0.5056817662307106,4,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad -20%,-3.278178921039573,0.3705792784501317,4,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad -30%,-3.8308199550126183,0.4573801564448386,4,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad -5%,-2.8057606682999605,0.42304111838454356,4,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Rad 0%,-2.3210550907400793,0.3148120048126793,4,Radiation
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +0.5degC,0.7383467753336528,0.5586756375721055,4,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +1degC,1.4336299143523967,0.3598902335282481,4,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +2degC,1.936675469529785,0.46458814034532697,4,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp +3degC,1.6680020058464236,0.6990871046198686,4,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp -2degC,-1.7110478162238059,0.3895746235607944,4,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp -3degC,-2.9370272114882114,0.8043890273928586,4,Temperature
30-60 cm,Mineral fertiliser | Residue Removed,Tmp 0degC,0.3500532107858367,0.26358572886940856,4,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Rad -10%,-3.198541478079646,0.39519291063981915,4,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad -20%,-3.7222129777660444,0.5293232001557802,4,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad -30%,-4.5184997497929285,0.4174249620156659,4,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad -5%,-3.2338652981885483,0.41249589458401137,4,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Rad 0%,-2.8326104071598888,0.7427583455889981,4,Radiation
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +0.5degC,0.46018116868138736,0.6564792951214395,4,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +1degC,0.7632075111254217,0.9689513489473339,4,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +2degC,1.7261998702145078,0.4374390654340063,4,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp +3degC,1.5737342270746604,0.37457935224013433,4,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp -2degC,-2.1421221887641537,0.5786753843600143,4,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp -3degC,-3.736995994893058,0.4915448730322301,4,Temperature
30-60 cm,Mineral fertiliser | Residue Retained,Tmp 0degC,-0.13854211479720327,0.7751392170629398,4,Temperature
