fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations,signed_level,wf,scen_label,reference_asy,relative_yield_pct,management_label,leaching_kgN_ha,leaching_sd_kgN_ha,driver,yield_metric
Biogas digestate,Residue Removed,weatherWin70dwnCenter,Wind,-70,Center,FALSE,11.320792230777776,1.4270337386079444,4,-70,Wind,Wind -70%,11.48430646611111,98.57619408001827,Biogas digestate | Residue Removed,25.668984843518516,2.7654010196402825,Wind,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherBaselineopen,Baseline,0,Open field,TRUE,2.0761716725,0.17859806459928823,4,0,Reference,Reference,2.0761716725,100,Biogas digestate | Residue Retained,27.59872119074074,2.282483175668454,Open field,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherRad0Center,Radiation,0,Center,FALSE,1.5565686094444444,0.1578992880150432,4,0,Radiation,Rad 0%,2.0761716725,74.97302029798523,Biogas digestate | Residue Retained,27.380389660185184,4.070233863406236,Radiation,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherRad10dwnCenter,Radiation,-10,Center,FALSE,1.3207818555092592,0.16992460384698144,4,-10,Radiation,Rad -10%,2.0761716725,63.61621599040766,Biogas digestate | Residue Retained,26.960941019537035,3.308719277249721,Radiation,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherRad20dwnCenter,Radiation,-20,Center,FALSE,1.0518564548055556,0.15102619692219765,4,-20,Radiation,Rad -20%,2.0761716725,50.66326974488452,Biogas digestate | Residue Retained,24.566464109166667,5.196906718563169,Radiation,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherRad30dwnCenter,Radiation,-30,Center,FALSE,0.7860459495555555,0.12010669629735835,4,-30,Radiation,Rad -30%,2.0761716725,37.86035422634616,Biogas digestate | Residue Retained,22.917750803472224,2.820192999867397,Radiation,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherRad5dwnCenter,Radiation,-5,Center,FALSE,1.4406330191574075,0.17329154966906088,4,-5,Radiation,Rad -5%,2.0761716725,69.38891606312518,Biogas digestate | Residue Retained,26.725474460185186,4.914755338337623,Radiation,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherTmp0Center,Temperature,0,Center,FALSE,1.9610793703796296,0.2266881162971977,4,0,Temperature,Tmp 0degC,2.0761716725,94.45651322360143,Biogas digestate | Residue Retained,25.632131537777777,4.483214267065388,Temperature,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherTmp0p5upCenter,Temperature,0.5,Center,FALSE,2.0863634569444445,0.17776007307055586,4,0.5,Temperature,Tmp +0.5degC,2.0761716725,100.49089314623834,Biogas digestate | Residue Retained,27.54937857037037,2.237354991782505,Temperature,All-crop ASY AGB
Biogas digestate,Residue Retained,weatherTmp1upCenter,Temperature,1,Center,FALSE,2.162685076124074,0.18554008966324984,4,1,Temperature,Tmp +1degC,2.0761716725,104.16696773055861,Biogas digestate | Residue Retained,27.92245716962963,0.9952612798853754,Temperature,All-crop ASY AGB
