fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations,signed_level,wf,scen_label,reference_asy,relative_yield_pct,management_label,leaching_kgN_ha,leaching_sd_kgN_ha,driver,yield_metric
Biogas digestate,Residue Removed,weatherWin60dwnCenter,Wind,-60,Center,FALSE,4.7526480984848485,0.3378205287298879,4,-60,Wind,Wind -60%,4.845107106060606,98.09170353612816,Biogas digestate | Residue Removed,25.780653546296296,2.7550506733811866,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Removed,weatherWin70dwnCenter,Wind,-70,Center,FALSE,4.74364575,0.33449610963887905,4,-70,Wind,Wind -70%,4.845107106060606,97.90590065731074,Biogas digestate | Residue Removed,25.668984843518516,2.7654010196402825,Wind,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherBaselineopen,Baseline,0,Open field,TRUE,5.041875386363636,0.3548571010685165,4,0,Reference,Reference,5.041875386363636,100,Biogas digestate | Residue Retained,27.59872119074074,2.282483175668454,Open field,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherRad0Center,Radiation,0,Center,FALSE,3.809493490530303,0.3425355451699349,4,0,Radiation,Rad 0%,5.041875386363636,75.55707348169572,Biogas digestate | Residue Retained,27.380389660185184,4.070233863406236,Radiation,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherRad10dwnCenter,Radiation,-10,Center,FALSE,3.231430183712121,0.306673403716249,4,-10,Radiation,Rad -10%,5.041875386363636,64.0918296483867,Biogas digestate | Residue Retained,26.960941019537035,3.308719277249721,Radiation,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherRad20dwnCenter,Radiation,-20,Center,FALSE,2.571776140151515,0.2431400588192241,4,-20,Radiation,Rad -20%,5.041875386363636,51.00832414674896,Biogas digestate | Residue Retained,24.566464109166667,5.196906718563169,Radiation,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherRad30dwnCenter,Radiation,-30,Center,FALSE,1.9208386344696968,0.18076423854323415,4,-30,Radiation,Rad -30%,5.041875386363636,38.09770149545619,Biogas digestate | Residue Retained,22.917750803472224,2.820192999867397,Radiation,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherRad5dwnCenter,Radiation,-5,Center,FALSE,3.524159085227273,0.3238498446712283,4,-5,Radiation,Rad -5%,5.041875386363636,69.89778237595456,Biogas digestate | Residue Retained,26.725474460185186,4.914755338337623,Radiation,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherTmp0Center,Temperature,0,Center,FALSE,4.77671771780303,0.4394877824168182,4,0,Temperature,Tmp 0degC,5.041875386363636,94.74089206413635,Biogas digestate | Residue Retained,25.632131537777777,4.483214267065388,Temperature,Grain ASY (WW + SY)
Biogas digestate,Residue Retained,weatherTmp0p5upCenter,Temperature,0.5,Center,FALSE,5.069743386363636,0.4074702998636758,4,0.5,Temperature,Tmp +0.5degC,5.041875386363636,100.55273083653302,Biogas digestate | Residue Retained,27.54937857037037,2.237354991782505,Temperature,Grain ASY (WW + SY)
