crop_renamed,fertiliser_type,residue_policy,scen_label,mean_resp,sd_resp,n_rot,driver,is_reference,is_vapv_zero
Ryegrass (undersown),Biogas digestate,Residue removed,Tmp -2degC,0.21309219270833335,0.14538731272982497,4,Temperature,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Tmp -2degC,10.409939467679356,0.27411594765428227,4,Temperature,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Tmp 0degC,8.642950452500001,0.8209472481343658,4,Temperature,FALSE,TRUE
Spring Barley,Biogas digestate,Residue removed,Tmp 0degC,10.603358173958334,1.3867220324696812,4,Temperature,FALSE,TRUE
Soybean,Biogas digestate,Residue removed,Tmp 0degC,5.629643883333333,0.26142773009669446,4,Temperature,FALSE,TRUE
Ryegrass (undersown),Biogas digestate,Residue removed,Tmp 0degC,0.6436051916666667,0.026682166096350234,4,Temperature,FALSE,TRUE
Grass-Clover,Biogas digestate,Residue removed,Tmp 0degC,15.206525227103787,0.5573195224291931,4,Temperature,FALSE,TRUE
Winter Wheat,Biogas digestate,Residue removed,Tmp +0.5degC,8.915036197500001,0.780342519234488,4,Temperature,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Tmp +0.5degC,11.072538714083333,1.7384066665352242,4,Temperature,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Tmp +0.5degC,5.877017216666666,0.3303713120194986,4,Temperature,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Tmp +0.5degC,0.6587981047083333,0.14484361592031905,4,Temperature,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Tmp +0.5degC,15.231343987052425,2.238226872648594,4,Temperature,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Tmp +1degC,9.119885780833332,0.8751473664979003,4,Temperature,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Tmp +1degC,11.7227187975,1.5326268571417112,4,Temperature,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Tmp +1degC,6.093856416666666,0.2748475555375923,4,Temperature,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Tmp +1degC,0.6231839010833333,0.13277215549638918,4,Temperature,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Tmp +1degC,18.839947727045455,0.8673539604528315,4,Temperature,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Tmp +2degC,9.288147471666667,0.520657578301181,4,Temperature,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Tmp +2degC,12.222048465833334,1.5322509395191877,4,Temperature,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Tmp +2degC,6.17096365,0.37618864542244945,4,Temperature,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Tmp +2degC,0.5871886948770834,0.16991532321550826,4,Temperature,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Tmp +2degC,21.526012237299547,0.3625496987831195,4,Temperature,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Tmp +3degC,8.500192790833333,0.35277781277228387,4,Temperature,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Tmp +3degC,12.1163601125,1.5573465811947582,4,Temperature,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Tmp +3degC,6.141217691666666,0.5687988264705178,4,Temperature,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Tmp +3degC,0.6048544949583333,0.22936155985806933,4,Temperature,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Tmp +3degC,22.503852585257633,0.4057740795832083,4,Temperature,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Reference,8.850566900833334,0.7055393190088297,4,Wind,TRUE,FALSE
Spring Barley,Biogas digestate,Residue removed,Reference,10.946585761666666,1.5474834722802322,4,Wind,TRUE,FALSE
Soybean,Biogas digestate,Residue removed,Reference,5.8815811,0.2870881072235258,4,Wind,TRUE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Reference,0.6088628190833333,0.13861523172250378,4,Wind,TRUE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Reference,15.360888377821968,1.7658690160851478,4,Wind,TRUE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Wind 0%,8.772096022500001,0.7117731455942251,4,Wind,FALSE,TRUE
Spring Barley,Biogas digestate,Residue removed,Wind 0%,11.019160274499999,1.5130791706560511,4,Wind,FALSE,TRUE
