simulation_id,scenario_unit,reference_type,run_id,soil,rotation,rotation_code,fertilisation,residue,weather_scenario,weather_factor,weather_direction,weather_change_pct,weather_signed_change_pct,strip_position,weather_is_baseline
SIM0028,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad30dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad30dwnCenter,Radiation,Decrease,30,-30,Center,FALSE
SIM0029,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad20dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad20dwnCenter,Radiation,Decrease,20,-20,Center,FALSE
SIM0030,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad10dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad10dwnCenter,Radiation,Decrease,10,-10,Center,FALSE
SIM0031,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad5dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad5dwnCenter,Radiation,Decrease,5,-5,Center,FALSE
SIM0032,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherRad0Center,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad0Center,Radiation,No change,0,0,Center,FALSE
SIM0033,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherRad0East,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad0East,Radiation,No change,0,0,East,FALSE
SIM0034,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherRad0West,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad0West,Radiation,No change,0,0,West,FALSE
SIM0035,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherTmp3dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp3dwnCenter,Temperature,Decrease,3,-3,Center,FALSE
SIM0036,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherTmp2dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp2dwnCenter,Temperature,Decrease,2,-2,Center,FALSE
SIM0037,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherTmp0Center,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp0Center,Temperature,No change,0,0,Center,FALSE
SIM0038,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherTmp0East,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp0East,Temperature,No change,0,0,East,FALSE
SIM0039,degC,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherTmp0West,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp0West,Temperature,No change,0,0,West,FALSE
SIM0040,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherTmp0p5upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp0p5upCenter,Temperature,Increase,0.5,0.5,Center,FALSE
SIM0041,degC,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherTmp1upCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherTmp1upCenter,Temperature,Increase,1,1,Center,FALSE
